YS(Mpa),UTS(Mpa),%EL,Charpy Energy at -80 C
681.56006,1057.0234,26.56282,52.61998
776.9066,1044.5044,23.207306,46.08872
678.9402,1040.7506,24.263851,66.64123
702.8653,1078.4099,25.922039,53.594364
743.0161,859.975,29.103134,66.24034
651.6835,1051.3214,27.440317,31.754066
651.7889,1065.1056,27.440317,30.844057
769.382,834.6214,30.35951,53.078655
717.60187,1057.4336,25.874735,52.61998
704.3778,1059.9579,26.569014,35.06911
739.1503,1081.4973,24.312006,57.7337
612.48206,764.02344,34.819206,65.66614
744.91,1060.8577,24.730757,58.479565
699.59534,1065.7079,26.599108,39.432003
741.5606,1062.4204,23.94576,57.942127
744.07153,1025.0311,25.434713,61.599773
708.32227,1061.3864,25.455462,58.479565
622.1414,1050.4045,28.00125,49.512928
727.14526,807.6486,33.97847,63.01473
759.29047,883.3082,26.405664,62.74483
732.87823,994.2402,23.890776,67.072525
711.3931,753.3065,35.652626,63.669304
773.1923,895.6883,24.98439,51.39987
753.8043,1056.9548,23.935287,63.070965
769.1447,1050.4594,24.95529,52.725872
726.5533,1078.8018,25.945536,48.722996
636.87537,1080.8485,27.525019,44.199833
673.33624,1012.3773,23.126867,68.42997
626.93677,886.1462,32.04418,59.160206
708.2354,1004.7301,23.639156,68.6606
752.82574,1060.5867,24.077726,62.06637
707.1672,855.43066,28.123568,67.19645
757.3955,794.69556,34.827477,51.620018
782.69635,806.84106,33.30997,61.60562
620.03174,782.5051,37.943176,51.819775
624.0093,1046.5829,27.257584,51.20169
617.1086,1064.1547,27.209936,49.33564
672.43475,878.41486,26.60145,67.786026
707.8259,1054.0417,26.017857,51.041897
627.8019,771.8642,37.470768,55.510395
674.2283,1011.4907,26.743734,56.943798
726.5657,801.0581,33.96627,63.563015
726.5545,820.36786,33.648674,54.76268
588.6433,1074.2407,27.252071,55.016037
772.95984,1071.2875,24.09088,53.159317
704.9662,1094.4258,23.006208,44.816055
590.4339,1077.686,26.885693,57.444344
709.15094,1064.8201,25.191053,56.533943
731.6261,1033.8453,26.470514,47.97828
733.3908,1036.3784,24.849684,61.45691
748.1912,821.17456,33.672485,53.087936
772.78827,831.83746,30.529165,45.81118
769.7151,1053.0822,24.969856,52.27123
773.4133,897.11786,25.563004,46.272224
698.71643,745.1854,34.56282,66.847015
751.04144,1010.9169,25.776974,27.018791
