f1,f2,f3,f4,f5,f6,f7,f8,f9
44.728,-11.916,-476.22,806.28,1337.466,1743.899,1298.744,545.624,646.904
236.915,51.078,-24.425,167.074,851.529,966.569,1045.091,1009.871,764.224
189.619,18.924,-62.496,118.046,786.618,887.716,1015.517,1054.517,842.003
-460.563,-2013.934,-1226.234,36.066,1938.451,2276.582,2307.111,2117.986,2160.766
382.916,163.573,220.426,-44.661,470.744,562.873,876.541,908.12,674.92
235.85,178.96,86.11,333.281,954.932,1157.042,1046,774.104,660.534
345.797,414.593,181.504,508.634,1040.389,1391.277,883.008,536.174,329.957
-499.608,-2086.45,-1227.154,130.971,2143.028,2514.14,2411.738,2055.969,2168.137
326.342,261.851,-3.333,313.857,787.629,1180.19,887.302,784.14,591.213
218.738,79.222,-28.267,124.468,764.665,889.937,1006.122,1006.122,845
249.468,81.662,-99.543,309.56,878.635,1198.834,925.172,923.046,554.618
275.57,213.21,-48.468,269.311,754.69,1110.123,847.565,847.565,624.945
-335.962,-1713.656,-1148.084,194.944,1856.162,2437.209,2080.6,1852.475,1874.316
118.5,-202.398,-194.375,100.602,906.907,1052.227,1164.593,1164.593,1028.292
-493.673,-2153.081,-1291.982,24.27,2021.561,2399.972,2401.206,2173.081,2288.842
-511.243,-2182.34,-1323.88,22.935,2039.612,2414.424,2428.702,2197.264,2311.419
-510.323,-2179.237,-1320.91,28.722,2043.287,2420.213,2430.604,2191.673,2306.349
-500.5,-2167.646,-1308.042,15.167,2014.604,2389.958,2415.771,2187.646,2299.375
408.342,221.092,252.679,-41.991,454.667,559.185,865.357,867.527,677.601
-41.485,-1453.545,-535.182,-366.424,956.242,1249.333,1716.879,1716.879,1692.424
335.912,347.33,299.365,630.953,1402.212,1408.033,1127.615,498.087,270.092
288.103,375.706,336.94,552.472,1359.528,1339.981,1009.416,497.436,266.668
327.814,325.537,283.535,628.916,1412.398,1420.011,1142.644,512.039,286.39
335.289,-134.717,-331.039,1056.193,1467.92,1771.467,1506.412,609.46,515.598
247.2,-343.2,-459.2,973.4,1563.6,1850.2,1643.4,778.4,694.6
329.816,-150.429,-358.224,1046.837,1444.265,1749.224,1533.245,622.347,529.367
390.112,149.625,44.418,448.415,1205.286,1149.259,1203.256,829.798,520.996
384.327,152.69,48.315,437.067,1198.528,1138.716,1188.263,831.24,522.095
384.167,145.863,41.488,437.666,1191.9,1142.27,1197.686,836.829,530.64
389.028,146.841,42.466,448.169,1206.747,1150.943,1205.34,831.494,523.237
390.152,149.703,44.359,448.125,1204.91,1148.754,1203.506,829.883,521.255
91.886,-184.203,-305.067,348.251,1053.594,921.112,1075.776,1115.193,754.999
105.971,-153.565,-269.565,312.13,1012.275,916.145,1068.275,1107.275,770.246
84.513,-201.846,-317.846,347,1061.897,930.897,1087.051,1126.051,767.564
91.771,-184.609,-306.052,347,1051.918,919.103,1077.072,1116.072,755.77
345.428,-803.138,173.772,350.585,1652.98,1819.248,1201.333,991.415,847.743
-576.89,-2069.592,-1174.779,-67.792,2178.374,2273.676,2119.813,2121.058,2116.591
-482.041,-2138.163,-1301.408,313,2411.878,2680.163,2410.143,1863.429,1999.837
-531.186,-2223.65,-1349.328,26.285,2051.018,2411.778,2433.769,2229.724,2296.293
-397.631,-1879.842,-1046.785,433.708,2455.309,2698.995,2438.177,1767.045,1784.9
-338.769,-2001.121,-1285.835,487.418,2340.242,2630.33,2540.956,1885.231,1918.857
-367.747,-2047.341,-1247.016,304.603,2323.891,2528.773,2498.018,2019.549,1967.909
-731.768,-2440.435,-1672.13,186.217,2125.536,2235.71,2323.841,2362.841,2233.159
347.536,-952.174,-80.826,-200.391,854.145,888.928,1526.188,1278.232,1062.551
457.199,-270.99,-361.294,1210.201,1159.999,1685.448,1530.516,381.735,349.804
538.146,234.066,277.222,253.103,833.492,756.603,1026.436,731.192,381.605
548.031,-110.883,275.361,5.894,673.524,616.431,1126.607,862.688,572.064
299.007,116.881,-39.772,1220.191,1644.421,2017.26,1391.685,255.34,239.291
427.331,545.365,317.183,780.521,1368.514,1628.225,960.903,290.064,53.549
364.002,631.403,374.054,688.835,1290.663,1577.422,714.443,243.592,-14.715
196.527,71.649,-46.49,405.952,940.313,1246.05,1101.871,795.056,726.582
389.448,485,253.091,658.584,1222.069,1522.521,928.39,402.61,179.213
415.525,513.67,294.037,777.868,1383.142,1645.676,982.011,310.346,76.141
209.374,-108.39,-182.659,1126.356,1733.142,2082.336,1533.35,446.38,430.363
-40.169,-869.29,-136.922,653.18,2059.557,1819.625,1564.785,920.093,651.128
288.838,93.839,-68.609,1205.912,1622.616,1991.838,1417.539,276.326,251.871
30.942,-438.872,-670.881,883.443,947.768,1793.938,1385.012,796.178,968.913
430.797,79.526,-295.69,1191.808,1427.814,1975.174,1333.295,398.389,300.788
-244.847,-753.917,-985.926,803.932,1140.046,1285.615,1188.734,1188.734,932.658
539.472,-131.179,-135.764,1909.377,1598.66,1951.283,1205.943,-173.821,-235.575
