f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
7.25E+01,1.72E+03,7.12E+01,2.07E+00,3.49E+02,3.82E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.85E+00,2.64E-01
7.24E+01,1.72E+03,7.08E+01,2.08E+00,3.48E+02,3.83E+04,-1.07E+03,-1.48E+01,-1.89E+02,1.87E+00,2.49E-01
7.26E+01,1.73E+03,7.19E+01,2.06E+00,3.57E+02,3.84E+04,-1.11E+03,-1.47E+01,-1.91E+02,1.89E+00,2.42E-01
7.25E+01,1.72E+03,7.12E+01,2.07E+00,3.49E+02,3.82E+04,-1.06E+03,-1.48E+01,-1.90E+02,1.85E+00,2.71E-01
7.25E+01,1.72E+03,7.10E+01,2.07E+00,3.49E+02,3.82E+04,-1.07E+03,-1.48E+01,-1.89E+02,1.85E+00,2.58E-01
7.25E+01,1.72E+03,7.12E+01,2.07E+00,3.49E+02,3.82E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.85E+00,2.64E-01
7.26E+01,1.72E+03,7.21E+01,2.05E+00,3.57E+02,3.84E+04,-1.11E+03,-1.47E+01,-1.91E+02,1.88E+00,2.56E-01
7.25E+01,1.72E+03,7.12E+01,2.07E+00,3.49E+02,3.82E+04,-1.06E+03,-1.48E+01,-1.89E+02,1.85E+00,2.73E-01
7.25E+01,1.72E+03,7.11E+01,2.07E+00,3.49E+02,3.82E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.84E+00,2.55E-01
7.25E+01,1.72E+03,7.12E+01,2.07E+00,3.49E+02,3.82E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.85E+00,2.64E-01
7.26E+01,1.72E+03,7.21E+01,2.05E+00,3.57E+02,3.84E+04,-1.11E+03,-1.47E+01,-1.91E+02,1.88E+00,2.56E-01
7.24E+01,1.71E+03,7.07E+01,2.06E+00,3.46E+02,3.81E+04,-1.05E+03,-1.48E+01,-1.89E+02,1.84E+00,2.49E-01
7.25E+01,1.72E+03,7.12E+01,2.07E+00,3.49E+02,3.82E+04,-1.06E+03,-1.48E+01,-1.89E+02,1.85E+00,2.73E-01
7.26E+01,1.72E+03,7.13E+01,2.05E+00,3.53E+02,3.82E+04,-1.07E+03,-1.47E+01,-1.90E+02,1.89E+00,2.43E-01
7.24E+01,1.71E+03,7.04E+01,2.06E+00,3.44E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.85E+00,2.59E-01
7.25E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.81E+04,-1.04E+03,-1.48E+01,-1.89E+02,1.85E+00,2.63E-01
7.24E+01,1.71E+03,7.07E+01,2.06E+00,3.46E+02,3.81E+04,-1.05E+03,-1.48E+01,-1.89E+02,1.84E+00,2.49E-01
7.25E+01,1.72E+03,7.14E+01,2.05E+00,3.53E+02,3.82E+04,-1.08E+03,-1.47E+01,-1.90E+02,1.88E+00,2.25E-01
7.24E+01,1.71E+03,7.06E+01,2.06E+00,3.45E+02,3.80E+04,-1.04E+03,-1.48E+01,-1.89E+02,1.85E+00,2.46E-01
7.25E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.81E+04,-1.04E+03,-1.48E+01,-1.89E+02,1.85E+00,2.63E-01
7.24E+01,1.71E+03,7.07E+01,2.06E+00,3.46E+02,3.81E+04,-1.05E+03,-1.48E+01,-1.89E+02,1.84E+00,2.49E-01
7.25E+01,1.72E+03,7.14E+01,2.05E+00,3.53E+02,3.82E+04,-1.08E+03,-1.47E+01,-1.90E+02,1.88E+00,2.25E-01
7.24E+01,1.71E+03,7.06E+01,2.06E+00,3.45E+02,3.80E+04,-1.04E+03,-1.48E+01,-1.89E+02,1.85E+00,2.46E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.46E+02,3.81E+04,-1.04E+03,-1.48E+01,-1.89E+02,1.84E+00,2.36E-01
7.24E+01,1.71E+03,7.07E+01,2.06E+00,3.46E+02,3.81E+04,-1.05E+03,-1.48E+01,-1.89E+02,1.84E+00,2.49E-01
7.25E+01,1.72E+03,7.11E+01,2.07E+00,3.49E+02,3.82E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.84E+00,2.65E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.80E+04,-1.04E+03,-1.48E+01,-1.89E+02,1.83E+00,2.44E-01
7.24E+01,1.71E+03,7.06E+01,2.06E+00,3.45E+02,3.80E+04,-1.04E+03,-1.48E+01,-1.89E+02,1.85E+00,2.46E-01
7.24E+01,1.71E+03,7.07E+01,2.06E+00,3.46E+02,3.81E+04,-1.04E+03,-1.48E+01,-1.89E+02,1.85E+00,2.51E-01
7.25E+01,1.72E+03,7.10E+01,2.07E+00,3.49E+02,3.82E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.84E+00,2.59E-01
7.24E+01,1.71E+03,7.06E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.58E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.80E+04,-1.04E+03,-1.48E+01,-1.89E+02,1.83E+00,2.44E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.46E+02,3.81E+04,-1.05E+03,-1.48E+01,-1.89E+02,1.84E+00,2.30E-01
7.26E+01,1.73E+03,7.19E+01,2.08E+00,3.57E+02,3.86E+04,-1.12E+03,-1.50E+01,-1.90E+02,1.87E+00,2.58E-01
7.23E+01,1.71E+03,7.07E+01,2.05E+00,3.43E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.86E-01
7.24E+01,1.71E+03,7.06E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.58E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.80E+04,-1.04E+03,-1.48E+01,-1.89E+02,1.83E+00,2.45E-01
7.25E+01,1.72E+03,7.13E+01,2.07E+00,3.52E+02,3.83E+04,-1.08E+03,-1.48E+01,-1.90E+02,1.85E+00,2.50E-01
7.23E+01,1.71E+03,7.07E+01,2.05E+00,3.43E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.86E-01
7.24E+01,1.71E+03,7.06E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.58E-01
7.24E+01,1.72E+03,7.17E+01,2.06E+00,3.52E+02,3.82E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.87E+00,2.87E-01
7.23E+01,1.71E+03,7.07E+01,2.05E+00,3.43E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.86E-01
