stock,harvest_value,npv,decvars
1741.058455261648,-98139.93534981244,-96784.31311363236,"['x_2_208.0_donothing', 'x_2_209.0_above_2040 + clearcut_2050', 'x_2_210.0_clearcut_2050', 'x_2_231.0_above_2050', 'x_2_249.0_clearcut_2050', 'x_2_250.0_above_2040', 'x_2_251.0_even_2040 + clearcut_2050', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2040']"
2153.508907560552,-47142.81634915923,-102210.74391885108,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2040', 'x_2_210.0_clearcut_2040', 'x_2_231.0_even_2050', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2040']"
-977.9253112468068,-66055.433873098,-83837.59317691186,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2040', 'x_2_210.0_below_2040 + clearcut_2050', 'x_2_231.0_above_2040', 'x_2_249.0_clearcut_2040', 'x_2_250.0_clearcut_2040', 'x_2_251.0_below_2040 + clearcut_2050', 'x_2_252.0_above_2040', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2040']"
-1616.4309130791955,-1907.95849443101,-86057.50000912741,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_below_2050', 'x_2_231.0_donothing', 'x_2_249.0_above_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_donothing', 'x_2_252.0_even_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2040']"
-1508.955635971871,-39712.30257092009,-82624.74346989728,"['x_2_208.0_donothing', 'x_2_209.0_donothing', 'x_2_210.0_above_2050', 'x_2_231.0_above_2050', 'x_2_249.0_above_2040', 'x_2_250.0_above_2040', 'x_2_251.0_donothing', 'x_2_252.0_above_2040', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2040']"
-176.97579720630875,-52234.76471189964,-90853.26097681736,"['x_2_208.0_donothing', 'x_2_209.0_donothing', 'x_2_210.0_clearcut_2040', 'x_2_231.0_donothing', 'x_2_249.0_above_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_donothing', 'x_2_252.0_above_2040', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2050']"
738.1222969410708,-56940.7778674662,-95416.39867873336,"['x_2_208.0_donothing', 'x_2_209.0_above_2040', 'x_2_210.0_clearcut_2050', 'x_2_231.0_above_2050', 'x_2_249.0_even_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040', 'x_2_252.0_above_2050', 'x_2_253.0_even_2050', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2040']"
1221.3948297163188,-182233.38398636263,-85186.88120425586,"['x_2_208.0_donothing', 'x_2_209.0_above_2040', 'x_2_210.0_clearcut_2050', 'x_2_231.0_donothing', 'x_2_249.0_above_2040 + clearcut_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2040']"
1860.5307305178028,-145174.49620864657,-92905.82963400971,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_above_2050', 'x_2_231.0_donothing', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2050', 'x_2_252.0_above_2050', 'x_2_253.0_above_2050', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2050']"
-816.3149492624535,-92298.7668685854,-81880.67467768824,"['x_2_208.0_donothing', 'x_2_209.0_above_2040 + clearcut_2050', 'x_2_210.0_below_2040 + clearcut_2050', 'x_2_231.0_above_2050', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_even_2040']"
