YS(Mpa),UTS(Mpa),%EL
725.86163,815.05566,36.21501
793.2876,867.9577,30.72
776.94763,924.4155,26.276518
786.9299,854.47986,35.070137
803.2903,844.2574,34.637657
781.5614,862.51025,31.68058
772.30963,1102.6046,23.579445
748.88165,1106.7925,25.101961
761.5621,939.4234,29.519468
756.0622,1109.1023,23.085705
792.14716,872.59906,25.478884
812.6387,838.5298,32.46736
772.1566,1103.9321,23.205788
802.2267,855.062,33.691135
806.368,815.58295,34.795094
796.565,870.7195,25.492462
759.52484,1005.7418,26.665554
789.08905,853.67645,35.009296
812.3534,811.93524,34.499165
803.7566,849.5525,30.860245
708.6325,841.0246,36.872593
774.2335,870.0032,30.358831
772.0333,852.08734,35.329876
788.9431,873.13574,25.559639
793.5781,873.27216,25.075794
811.4056,785.3257,34.701374
778.92004,1101.3469,23.248686
779.181,1087.5701,25.268644
704.5778,939.8068,31.870672
805.64886,837.8364,34.656548
783.0778,1025.2128,23.24134
781.2365,1018.1127,24.394058
799.7373,866.02094,27.87993
776.61163,915.47394,26.325562
795.287,850.6257,34.328526
732.4323,1110.3541,23.155172
